=== figure_2_panel_a ===
Simulation Strategy,Context,Mean KSR
(v2),none,Initials-only,3,0.3416320885200553,0.0019560353559793776
(v2),none,Initials-only,4,0.23319027181688123,0.0053528717979598635
(v2),none,Initials-only,5,0.2986111111111111,0.027287337089428466
(v2),none,Initials-only,6,0.2463126843657817,0.002085860711464745

=== figure_s1_panel_c ===
acronym_length_bins,acronym_length_lb,acronym_length_ub,keyword_config_name,top5acc_mean,top5acc_std
1-2,1,2,(v1) Keywords: 1 (no limit),0.9411764705882353,0.0
1-2,1,2,(v2) Initials-only,0.7254901960784315,0.033961780540566214
1-2,1,2,(v2) Keywords: 1 (limit: 2 chars),0.823529411764706,0.0
1-2,1,2,(v2) Keywords: 1 (no limit),0.9411764705882352,0.0
3-4,3,4,(v1) Keywords: 1 (no limit),0.8823529411764706,0.0
3-4,3,4,(v2) Initials-only,0.8333333333333334,0.00849044513514159
3-4,3,4,(v2) Keywords: 1 (limit: 2 chars),0.8333333333333334,0.008490445135141605
3-4,3,4,(v2) Keywords: 1 (no limit),0.8872549019607843,0.00849044513514155
5-6,5,6,(v1) Keywords: 1 (no limit),0.8430232558139534,0.008222171874262156
5-6,5,6,(v2) Initials-only,0.7403100775193798,0.029262924167716056
5-6,5,6,(v2) Keywords: 1 (limit: 2 chars),0.7635658914728682,0.01776192129827848
5-6,5,6,(v2) Keywords: 1 (no limit),0.8449612403100776,0.013426750446270279
7-8,7,8,(v1) Keywords: 1 (no limit),0.6896551724137931,0.0
7-8,7,8,(v2) Initials-only,0.7528735632183908,0.009954314986027979
7-8,7,8,(v2) Keywords: 1 (limit: 2 chars),0.7413793103448275,0.01724137931034482
7-8,7,8,(v2) Keywords: 1 (no limit),0.7011494252873564,0.009954314986027979
9-10,9,10,(v1) Keywords: 1 (no limit),0.54,0.028284271247461926
9-10,9,10,(v2) Initials-only,0.4533333333333333,0.023094010767585025
9-10,9,10,(v2) Keywords: 1 (limit: 2 chars),0.52,0.08
9-10,9,10,(v2) Keywords: 1 (no limit),0.52,0.0

=== figure_s3 ===
Context,Words,dialog_turn_number,top5acc_mean
all,stop words,1,
all,stop words,2,0.9982758620689656
all,stop words,3,0.9967266775777414
all,stop words,4,1.0
all,stop words,5,0.9982993197278912
all,stop words,6,0.9919354838709677
all,non-stop words,1,
all,non-stop words,2,0.9598070739549839
all,non-stop words,3,0.9584775086505191
all,non-stop words,4,0.972972972972973
all,non-stop words,5,0.9667774086378738
all,non-stop words,6,0.9520426287744227
none,stop words,1,0.9989059080962801
none,stop words,2,0.993103448275862
none,stop words,3,0.9918166939443536
none,stop words,4,0.9910233393177738
none,stop words,5,0.9914965986394558
none,stop words,6,0.9899193548387096
none,non-stop words,1,0.9343434343434344
none,non-stop words,2,0.8906752411575563
none,non-stop words,3,0.8633217993079585
none,non-stop words,4,0.8585055643879174
none,non-stop words,5,0.8737541528239202
none,non-stop words,6,0.8419182948490231

=== figure_s4 ===
simulation_strategy,context,ksr
Strategy 1,all,0.6403313178639704
Strategy 2,all,0.6566488667291842
Strategy 2a,all,0.6473960527269753
Gboard,none,0.4830295457932047
Strategy 1,none,0.5434860628678683
Strategy 2,none,0.5516304409922481
Strategy 2a,none,0.5247707917177548

=== figure_s6 ===
practice_dialog_turn_number,subject,mean_wpm,std_wpm
1,non_AAC_users,11.02154067419168,3.298767391225069
2,non_AAC_users,17.740570902338973,4.0460663511403885
3,non_AAC_users,21.08193112219149,6.09366612218311
4,non_AAC_users,21.772809077860614,6.941478972300816
5,non_AAC_users,18.333069600648976,5.497113531870988
6,non_AAC_users,24.012321139928524,6.937093170383449
1,LP1,1.727051007619849,
2,LP1,7.233754898278483,
3,LP1,6.853913135360024,
4,LP1,3.87857016466762,
5,LP1,8.094483161476779,
6,LP1,7.0072667383856,
7,LP1,7.0982662795948315,
8,LP1,4.055782956530235,
9,LP1,5.762623537919305,
10,LP1,6.425747189283548,
11,LP1,15.21459249375721,
12,LP1,9.8061232685718,
13,LP1,9.537142373653916,
14,LP1,15.561452387546296,
15,LP1,17.869737825124478,
16,LP1,26.193015145979135,
17,LP1,17.215580386021283,
18,LP1,16.454219498782297,
19,LP1,23.743900517946198,
20,LP1,12.842559012281074,

=== table_s1 ===
